id,pool,user,collateralReserve,collateralAmount,principalReserve,principalAmount,liquidator,timestamp
14965942:0:0xc5facb2b9d10fd8fd043dbc41f9b9b0907d351414c09d4b5f476b43d6b38c94c:14:14,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc875c65601a98761c5dd38ae8ca34f718277bf3f,WETH,295970390054907750,USDC,316491500,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655272224
14965937:105:0x2d0b4bea53bd2fa1e519de03172ca218d630b8751859b2e1206f4eb58353e0fb:178:178,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x444b7321b05a5c654bdfe2121135a9be5cf99c1d,WBTC,1361443,USDT,264667080,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655272165
14965921:16:0x49c96675b8ad0d55fa09e8ce6d70917ad8bd2c9d4d3aa3772b45e8eb51fdacf8:167:167,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa7499aa6464c078eeb940da2fc95c6acd010c3cc,CRV,527574880473322488522,USDC,326911218,0x8472ee188899569cf6ef42bb2038facae66972d2,1655272024
14965897:165:0xbd4d23318f6b4b2dc904d85899b5cc6dc2014e275f2a19b3c88d45f4ddb75203:520:520,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcd7bcac7ee5c18d8cc1374b62f09cf67e6432a08,WETH,290901236171201597,DAI,309270472238524094927,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271611
14965897:16:0x82871eb806734647477e62f06d3a1070bdc1e54392a4bdcd09f2dbfe5e90a326:199:199,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x350da7723e9219078cf958cd7b3b0fd7a1fa3fca,ENJ,809807711298342713659,USDC,323978090,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271611
14965897:15:0x834ad0b05587ed27261ede1eb659ba58d0d16063cef6cf012c87da6cbe8a28b1:190:190,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe2ef9e4373a0395d88c6d43ba965658a24ee44df,WETH,325722892497403902,DAI,346290975272049218069,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271611
14965893:10:0x41819e8761991492d66398bdfc0e1d32c3cdd72201f24ed96302d404d15c4810:92:92,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf9f3782ed2558a904b8f7ed8d1f10aba97a310da,WBTC,1976198,USDC,387115341,0x8472ee188899569cf6ef42bb2038facae66972d2,1655271582
14965885:91:0x24f3345d83fbfb5c90f240f4ab43b53277843a7625f1ed085032c889b4f7f0c8:241:241,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3062539c3e9745b86ec66ac10158c8b5d460efcf,WETH,331259078490425505,USDC,354226930,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271475
14965882:2:0xe3d3787a1b922581e6182539455e8828540ef6203089ad96bb1c539f2b9cde39:16:16,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb5e0cefa0e723007abaae2035b44da49c06db52d,WBTC,3618302,USDT,703404465,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655271459
14965881:7:0x58b9617387b394012c40fa750809e9fc149356ff520a45f4fa2a4f3becba3bd9:81:81,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x38eff10c5a68e7eba6a2143332e02a42e5e420da,XSUSHI,379535715300270293141,AMPL,501229300866,0x8472ee188899569cf6ef42bb2038facae66972d2,1655271451
14965881:27:0xb8bd57f157c464573c4cf5e48b9e2f9565ae3a096687cebf311b8123007f2652:215:215,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x86a19282a521e83029f6d4bcae0c9512601dd458,WETH,501426739984286088,USDC,536193168,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655271451
