id,user,caller,reserve,amount,borrowRate,borrowRateMode,timestamp,stableTokenDebt,variableTokenDebt
15249936:320:0xe73bf3ebc56c7c74c49f9c27d6688d4ae19cdd92e224ebd6802f0a2bb959eed8:731:731,0xda18890afbb543b60c6dff2dc6ddfbd157245eaf,0xda18890afbb543b60c6dff2dc6ddfbd157245eaf,USDC,1000000,17458325032657056279229353,Variable,1659266459,0,900802
15249898:194:0x97cd429b4fdc8325d2084470ec1c3905a41c5c639098a52a4640bb710238116d:498:498,0x842ed51d8e4c4b560986394f4fd25b786e74f783,0x842ed51d8e4c4b560986394f4fd25b786e74f783,USDC,114000,17459053581510517933717111,Variable,1659265974,0,102691
15249897:5:0xbb299196dc00cdc311226dcd279e0e8e555e98b45197e73c7446d1f7c6cc598a:37:37,0x5423a31ecdc46ac59a863c920446e410449e39e4,0x5423a31ecdc46ac59a863c920446e410449e39e4,UNI,2409128338767436840960,19524948307750273185424776,Variable,1659265920,0,2361983126877726823183
15249895:112:0xbe3a4946c504fca3c7e6843c82cd247318cc39d0571957c9076e4e4b6921ceec:263:263,0xc2298aca8fa0109df5d3266720553cd02f83b860,0xc2298aca8fa0109df5d3266720553cd02f83b860,USDC,100000,17459053201913688300193332,Variable,1659265913,0,90080
15249864:336:0xdb71df874ce8d2fe6b7010f698b0e19f626621cf937c3eaffb000f52dda4d308:611:611,0xf60ab1f6680f3d129d5b4c5eb79f83fff1df7cc8,0xf60ab1f6680f3d129d5b4c5eb79f83fff1df7cc8,USDC,100000,17459025333297698908893479,Variable,1659265427,0,90080
15249857:42:0xc8e8fe76e658c3514a8a4385f065b9f21b360721f176705492e4588e07009825:92:92,0xdef9adb9a6468a7a8ac995d79d996ff780fe8f0c,0xdef9adb9a6468a7a8ac995d79d996ff780fe8f0c,USDC,80000,17459024646559403719808071,Variable,1659265316,0,72064
15249852:206:0xe8a3a96d7d5a1efaaa2515a0cf630497dcdffe2767d96bdb009779da21920261:544:544,0x78df0f563433e3217e0a5e68e129e9b39ad8c9e6,0x78df0f563433e3217e0a5e68e129e9b39ad8c9e6,USDC,100000,17459024372835497579887428,Variable,1659265272,0,90080
15249852:205:0xa5c7c4bad65c912817497292460df7b4d9212efb86df31d16d000677278f5cfb:538:538,0x25898e8da407615035c0ed2c4ade28d082e6bf88,0x25898e8da407615035c0ed2c4ade28d082e6bf88,USDC,12500000,17459024369110718484806938,Variable,1659265272,0,11260037
15249852:110:0x4aaefc3db87bf59f900dc85db8fbd4f9bb741ac236f09c24f771c41d86127466:262:262,0x8f66aa5432ccc25907984853a359b062623e550d,0x8f66aa5432ccc25907984853a359b062623e550d,USDC,900000000,17459023903513331599745799,Variable,1659265272,0,1984183329
15249830:92:0x4b7fefa0f9809c70eea8b9b3dd500bc7cdfae40964b286dd9c2703d493f24f4b:152:152,0x22838701da0805988d926de54b7582dca455b8de,0x22838701da0805988d926de54b7582dca455b8de,USDC,2000000,17458989069857302331801132,Variable,1659265059,0,1801606
15249808:77:0xde61084474d953e8a4cb15af576b622ebd5c23d17316dcf3130a1a52f8630a2e:388:388,0x619a82ea458505b0823d47ff9d347f1e7e2f2758,0x619a82ea458505b0823d47ff9d347f1e7e2f2758,USDC,1000000,17458987192457058328701102,Variable,1659264766,0,900803
15249803:94:0x65c43fc19e4114933458b6af592bfd36f3860cc0bad9e82c2b97651ce5687c1c:247:247,0x1db1b758d8e27179e42321159a04083be33c1edb,0x1db1b758d8e27179e42321159a04083be33c1edb,USDC,2000000,17458986501667640205953011,Variable,1659264661,0,1801607
15249803:119:0xfaa1167ab25791766d732942d83108a5383797e3bb0c71e8e2dc6fa182198dd2:292:292,0xae623c8b158c3df75b4f0f3886ca36b49b72f3e9,0xae623c8b158c3df75b4f0f3886ca36b49b72f3e9,USDC,200000,17458986509117222049842817,Variable,1659264661,0,180161
15249786:60:0xbbb7715637d7c67a6d772890d9e6d9ab89e5ac01aab675164c56749459dd4c6f:192:192,0x343282cdb7e80e8922d56576554c01138a2288f8,0x343282cdb7e80e8922d56576554c01138a2288f8,USDC,20000000,17458985307279288582665950,Variable,1659264479,0,180187451
15249771:173:0x4984481056b8d3438936f53e7687f6511675a984024757ce1218603e99272e73:300:300,0x090e89409ee346849a1ba83559b2073c2951dc18,0x090e89409ee346849a1ba83559b2073c2951dc18,USDC,300000000,17458983858324146378318086,Variable,1659264304,0,11556236627
15249720:267:0xd2bec278a20dab561a0a77457ff42338afb2e2d4c4c265ab3e3b3bf819b82c5e:484:484,0x5d6f8d4a9d75d182de823de0865fee046f5c9a8f,0x5d6f8d4a9d75d182de823de0865fee046f5c9a8f,USDC,56852,17458969231626677645897097,Variable,1659263682,0,51212
15249719:146:0xa489e1533aea7825aea11df1c233b0f4659be4d4b33de402b87b411f09fc0b83:293:293,0x5b933bb8f7dcb0a320267b523473698ad632763d,0x5b933bb8f7dcb0a320267b523473698ad632763d,USDC,1,17458969087984362769838923,Variable,1659263659,0,1
15249709:287:0x422ccf348c5167e1154faa9468e03c219164da6099bf226488944e69d7b19204:546:546,0xf7b18e107eb36797f4ce36de756630b9c30969ad,0xf7b18e107eb36797f4ce36de756630b9c30969ad,DAI,500000000000000000000,17563184641484418389648773,Variable,1659263567,0,447081048204067571710
