timestamp,date,totalBorrow,totalValueLocked,utilizationRate,liquidity
1645573238,23/02/2022,3996610894.869187440576390607450143,10433037698.22640006703683146123337,0.38307260171681395,6436426803.357213
1645660651,24/02/2022,4036348285.78851771879684001444356,10432241974.42974166715762227688376,0.38691091480450035,6395893688.641223
1645747149,25/02/2022,3379933874.1201616901552155834101,10200547886.25906596482968440388416,0.33134826793697975,6820614012.138905
1645833299,26/02/2022,3571322874.457872471065512835335789,10503002642.43962365669028619534835,0.3400287513998312,6931679767.9817505
1645919989,27/02/2022,3580433304.140907160451630491512009,10496528265.70987366552057981409279,0.34110643190829965,6916094961.568966
1646006332,28/02/2022,3570537386.871976560187033691722227,10267007270.40749581007183917656739,0.3477680781587936,6696469883.535519
1646092269,01/03/2022,3652562744.455807720207773273792759,10877891591.0791932274438367127214,0.3357785572574766,7225328846.623385
1646178814,02/03/2022,3650271340.232308234698366414328628,10881247217.36660782293078979400407,0.3354644249242338,7230975877.134299
1646265388,03/03/2022,3647371372.275961468417561965792605,10852249259.53068815830901441553932,0.33609358622801244,7204877887.254726
1646351802,04/03/2022,3708097277.997277165432447606439882,10731662514.45239659535070217309362,0.3455286888684358,7023565236.455119
1646437323,05/03/2022,3748553172.134173597714897351031048,10130396304.79681209613522881079453,0.37003025936499717,6381843132.662639
1646524518,06/03/2022,3754926348.072289933872775788846832,10238895748.9789797527815063683096,0.36673157341666757,6483969400.906689
1646611105,07/03/2022,3799042737.718799241555043583253841,10166918812.89015219969242226376229,0.37366706744054784,6367876075.171352
1646697563,08/03/2022,3816467567.843240776218333300139798,10109637053.61970713121115425891576,0.37750787170710276,6293169485.776466
1646783868,09/03/2022,3820900107.513936449812569652577742,10249128221.66792401131757686477899,0.3728024496206498,6428228114.153988
1646869737,10/03/2022,3850678330.26996072006267044975889,10555647884.2566296419428357540824,0.36479791411127965,6704969553.98667
1646956794,11/03/2022,3813244829.4229216671781086132371,10323723962.25252869010988766154723,0.36936718216852743,6510479132.829607
1647042952,12/03/2022,3787593605.828375290152260871457531,10224014794.98994049153566391003582,0.37046049734634623,6436421189.161566
1647129471,13/03/2022,3768530269.995069689354281066513741,10236773154.13913634283670630384061,0.3681365419796669,6468242884.144068
1647215308,14/03/2022,3763376402.73990779261184752912407,10121770432.51665735527828150583644,0.3718100926938519,6358394029.776749
1647302259,15/03/2022,3706032800.044945250413817115200869,10176222550.25493376432818124276759,0.3641855100694611,6470189750.20999
1647388689,16/03/2022,3699841575.863064665192295062025747,10198335388.0616092609724596901819,0.3627887723906569,6498493812.1985445
1647475081,17/03/2022,3693471280.412787903097203210101809,10445077613.78921800240502601193037,0.3536087922924382,6751606333.3764305
1647561241,18/03/2022,3679294456.345410007813199389187011,10529797703.41477192126776497103822,0.3494173924302676,6850503247.069363
1647647885,19/03/2022,3659757353.583721092546253277914616,10653071646.72552678757174837752619,0.3435401051403455,6993314293.141806
1647734371,20/03/2022,3718650882.992390356484902729641156,10595045694.53640391106048446472845,0.3509801647113239,6876394811.544014
1647819685,21/03/2022,3866866521.003149859072849377860388,10629713551.33391158083439413357752,0.3637789957677553,6762847030.330762
1647906534,22/03/2022,3855696208.288706277366335609543367,10603465826.18445465147467518523723,0.3636260324211502,6747769617.895748
1647993404,23/03/2022,3823243306.900697528218195666182914,10635013010.70946336086199073973829,0.35949587490402596,6811769703.808765
1648079924,24/03/2022,3816547680.287998734532349472389227,10655681453.68551769639383239467399,0.35817021153236106,6839133773.39752
1648166296,25/03/2022,3792477060.042225927374516954975775,10764875296.845452685832724362467,0.35230106763555136,6972398236.803227
1648252776,26/03/2022,3884256716.175993545894862894014011,10745005751.66316186406602544418466,0.36149414955639,6860749035.487169
1648338522,27/03/2022,3885778767.608421360410166751121495,10760443879.51053265325042906449359,0.36111695866074034,6874665111.902111
1648424921,28/03/2022,3924176525.2181479604818108659174,11045005843.1966618350839100994295,0.355289673987389,7120829317.978514
1648511996,29/03/2022,3805094051.994521109188552466385172,10978310832.66229862871573484957316,0.3466010491043608,7173216780.667777
1648598354,30/03/2022,3594672019.16942959637721670359214,10612364274.39598541539846683529468,0.33872489920480275,7017692255.226555
1648683640,31/03/2022,3532964127.890739066949415055772161,10440150279.20485510270972810320274,0.3384016545171625,6907186151.314116
1648770978,01/04/2022,3522831790.223160790689752710314643,10159434918.71351823024950562882846,0.34675469830848177,6636603128.490357
1648856239,02/04/2022,3498766489.746015083883823566973962,10282094901.01876244229891689419481,0.3402775916218545,6783328411.272747
1648943969,03/04/2022,3495220278.439147596633753695957876,10282166985.50197443566654184721934,0.33993031657309847,6786946707.062826
1649030398,04/04/2022,3507823275.647960804901997492671726,10396938332.38434068474256075213628,0.3373900242075888,6889115056.73638
1649116059,05/04/2022,3512936693.468208823601621674196346,10439078200.22483861698188559977076,0.33651790187686753,6926141506.75663
1649202844,06/04/2022,3524906375.795642049185972799541539,10346728418.07428522981337075488215,0.34067835100785326,6821822042.278644
1649289471,07/04/2022,3509514412.682858091613769472734552,9993493771.51263921357552562343545,0.3511799269527787,6483979358.8297825
1649375989,08/04/2022,3246693615.293880670978681348221012,9740378025.811374379980729290899334,0.3333231632992427,6493684410.517494
1649462223,09/04/2022,3246452324.073554200008163760183375,9772936274.352675957410208793667806,0.33218801728946984,6526483950.279122
1649548114,10/04/2022,3226789492.447639038031786486678983,9824304818.976256652406966548549102,0.32844965133969517,6597515326.528618
1649634735,11/04/2022,3221538909.857800510788079241218236,9818449699.98586583477740545900825,0.328110751523475,6596910790.128066
1649721281,12/04/2022,3194810527.993766113617643674284442,9371307495.54257597701994892202932,0.3409140645009637,6176496967.548809
1649807958,13/04/2022,3172236081.048768393209288900346344,9334791013.425852788095784457525884,0.3398293627019897,6162554932.377085
1649893854,14/04/2022,3182159432.676147503014101777869388,9495678874.072265876827637410479253,0.3351165803810996,6313519441.396118
1649980624,15/04/2022,3197552406.567929993576503863228489,9458347437.635561115121938846710638,0.338066710664973,6260795031.067631
1650067199,16/04/2022,3206745290.280352976238118441811697,9525738975.901243903064400720784881,0.33664005473937086,6318993685.62089
1650153595,17/04/2022,3208737914.942138435087429044886069,9540241430.376697042463083965175222,0.336337181648813,6331503515.434559
1650239986,18/04/2022,3206321603.557882083359754449783433,9445291282.047374466416378748169021,0.33946243771773604,6238969678.489492
1650325883,19/04/2022,3193229541.634206555637305702141279,9405360277.724151200122891300563327,0.3395116664692917,6212130736.089945
1650412643,20/04/2022,3194180858.762846975828535094459086,9489333849.76107203420631140202511,0.3366074910351343,6295152990.998225
1650499012,21/04/2022,3196550987.577086725868692648882622,9454455323.866105614634240143483013,0.338099962195385,6257904336.289019
