Date,total_value_locked_(tvl) ($),gross_merchandise_value ($)
2020-10-10,1608672852.31,885481196.90
2020-10-11,1649731637.88,894546421.22
2020-10-12,1667479282.76,902905976.12
2020-10-13,1649974548.01,911078428.04
2020-10-14,1707300405.35,918838673.78
2020-10-15,1684531983.49,906138560.88
2020-10-16,1659075461.95,903517667.07
2020-10-17,1649007281.40,900377305.52
2020-10-18,1645019774.85,899844689.98
2020-10-19,1659523568.73,902632861.21
2020-10-20,1678472433.33,899185067.91
2020-10-21,1671221421.22,907393768.07
2020-10-22,1738586183.24,927318094.60
2020-10-23,1780297496.03,926496243.95
2020-10-24,1812736905.17,932201836.15
2020-10-25,1805740479.35,932753466.67
2020-10-26,1787157828.89,930197744.21
2020-10-27,1781335247.77,933992311.94
2020-10-28,1785787238.40,938821976.12
2020-10-29,1737191736.90,937482754.80
2020-10-30,1729212154.52,922045076.30
2020-10-31,1684870911.76,922245942.69
2020-11-01,1725290173.71,931349780.51
2020-11-02,1722800393.96,940680161.66
2020-11-03,1718920903.76,948219457.04
2020-11-04,1710854542.87,944767952.75
2020-11-05,1705202501.30,942289162.75
2020-11-06,1775036183.14,944876386.92
2020-11-07,1881854085.52,948784264.13
2020-11-08,1889865057.70,950369402.88
2020-11-09,1847872093.89,952353367.84
2020-11-10,1886405976.99,958673820.90
2020-11-11,1852802857.99,982969173.90
2020-11-12,1958847150.30,992615742.12
2020-11-13,1974962549.85,994289417.92
2020-11-14,2011746455.82,998357232.71
2020-11-15,1991331147.02,1008607119.93
2020-11-16,1996618460.99,1006031147.97
2020-11-17,1995012055.85,1008821278.28
2020-11-18,2038260378.60,1001001616.99
2020-11-19,2072530333.76,994238269.76
2020-11-20,2035356793.74,996244668.20
2020-11-21,2147313914.19,1010357008.99
2020-11-22,2182168398.92,1016850131.71
2020-11-23,2201845867.51,1017197159.69
2020-11-24,2381975351.82,1027568598.82
2020-11-25,2406904846.67,1040658059.35
2020-11-26,2414599901.28,1025289836.41
2020-11-27,2164712865.95,1010336028.19
2020-11-28,2108736341.96,1012491062.54
2020-11-29,2142911689.59,1017683341.90
2020-11-30,2274518760.64,1035311670.82
2020-12-01,2416127086.59,1048797454.55
2020-12-02,2467049968.84,1062328229.85
2020-12-03,2417312856.48,1071336367.56
2020-12-04,2467753021.03,1069150898.18
2020-12-05,2372481322.09,1064384120.59
2020-12-06,2397419045.22,1066595648.31
2020-12-07,2406887817.44,1068875036.06
2020-12-08,2403182833.69,1068903459.59
2020-12-09,2340687731.79,1073384478.98
2020-12-10,2304965276.49,1073270071.24
2020-12-11,2274378035.48,1072890697.16
2020-12-12,2196013716.24,1071853950.57
2020-12-13,2290251460.61,1090816147.23
2020-12-14,2365081637.56,1089170269.75
2020-12-15,2340464514.31,1091853530.78
2020-12-16,2371212618.57,1102313414.39
2020-12-17,2417839169.21,1118037842.44
2020-12-18,2635167095.03,1121288421.48
2020-12-19,2591981834.90,1126445959.54
2020-12-20,2606847493.11,1120198431.16
2020-12-21,2569295712.30,1124923311.36
2020-12-22,2446120439.64,1116297198.54
2020-12-23,2463407094.19,1112787035.64
2020-12-24,2441393706.96,1113097169.08
2020-12-25,2360728470.48,1112308467.57
2020-12-26,2502081937.80,1115875832.97
2020-12-27,2500425927.92,1106548729.33
2020-12-28,2490063780.01,1110617499.51
2020-12-29,2802601680.55,1124326579.18
2020-12-30,2807860494.01,1143193801.07
2020-12-31,2793237930.28,1152350288.22
2021-01-01,2875568936.97,1186141355.63
2021-01-02,2879340461.79,1194063849.85
2021-01-03,2843505325.52,1197648772.88
2021-01-04,3179319265.16,1252857175.52
2021-01-05,3607812183.21,1314259380.40
2021-01-06,3823994428.62,1308651062.32
2021-01-07,4061676071.34,1336897334.28
2021-01-08,4240287282.88,1361421216.63
2021-01-09,4406717477.54,1395231776.76
2021-01-10,4295866838.24,1413884250.43
2021-01-11,4505109331.45,1359631895.72
2021-01-12,3833718987.34,1355949960.58
2021-01-13,3910376449.27,1350863287.08
2021-01-14,3744174150.50,1381114847.40
2021-01-15,4082842279.29,1393553377.11
2021-01-16,4036493157.85,1333692435.86
2021-01-17,4107743834.57,1367036866.45
2021-01-18,4146577154.94,1381690693.35
2021-01-19,4294925818.39,1396551890.74
2021-01-20,4686112784.09,1398718460.24
2021-01-21,4315328290.80,1390357104.29
2021-01-22,4060855877.29,1400805253.23
2021-01-23,4160841819.56,1447197691.01
2021-01-24,4232229942.30,1493197509.23
2021-01-25,4580541377.94,1545632266.44
2021-01-26,4844319221.56,1566126287.88
2021-01-27,4554423003.63,1583748888.13
2021-01-28,4496026907.05,1601787361.26
2021-01-29,4641957740.80,1618475782.69
2021-01-30,5059014527.68,1635003579.45
2021-01-31,4833263998.21,1646184540.48
2021-02-01,4864571186.03,1646123573.89
2021-02-02,4843357951.33,1670457811.64
2021-02-03,5169123297.54,1714038772.85
2021-02-04,5565804866.87,1743466307.63
2021-02-05,5813156525.30,1782731039.83
2021-02-06,6054768484.74,1812882810.26
2021-02-07,6165897262.64,1799200988.56
2021-02-08,5840660730.59,1829835028.50
2021-02-09,6001128473.38,1911960025.65
2021-02-10,6501223232.31,1948283092.06
