id,pool,user,repayer,reserve,amount,timestamp
15208224:43:0x42109ebbbda6bfab3d0745e5d800a808954098dbb3175ee39ddef1ee90c3fec5:96:96,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x24f70348dbf10a19034c673ece0cbeffb1073129,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,25002998485915330,1658704745
15208205:78:0x04032ba81936de983b047d600ab777f1148c72896bac0c69d9cb6ff4041f6033:106:106,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x349a01774f22f51ffd46270b48f1fdc85ac9131f,0x349a01774f22f51ffd46270b48f1fdc85ac9131f,WBTC,4382506038,1658704441
15208190:16:0x11e8b8a0e4911c248a758601dec84ac3bf702d442a58374613bba3e42579d6c5:47:47,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x349a01774f22f51ffd46270b48f1fdc85ac9131f,0x349a01774f22f51ffd46270b48f1fdc85ac9131f,WBTC,2328672527,1658704171
15208076:36:0xdac1a681d2a77a21b30460a00d33faf2b0b1d31a7a5e8344a58ec22468099f24:136:136,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x72ab236bf2722b33c251697f8ce7305f636681c0,0x72ab236bf2722b33c251697f8ce7305f636681c0,WETH,65288800237506833236,1658702697
15208014:21:0xa11726540fc7d2eded86333b67100233062ecdfb5345466ac557a5bba0c83263:127:127,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x37ad83536445b0496d02d022af8324c83d935e03,0x37ad83536445b0496d02d022af8324c83d935e03,CVX,1504553518824722165623,1658701907
15207938:124:0x9607050192343ca9923c1bfc079eb60d77e777a0677d9094fca96e4b4673b705:277:277,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xab205303361af614ebfce3a515fb73fd4b83d82b,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,WETH,8000000000000000000,1658700878
15207911:3:0x31d33ab40cb086cc91bbffd7c96d331497c954e21148862f69427ad71dd881ad:25:25,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7c07f7abe10ce8e33dc6c5ad68fe033085256a84,0x7c07f7abe10ce8e33dc6c5ad68fe033085256a84,WETH,52051490831328712276,1658700342
15207884:105:0x47fdb8a8c4a44c6c67a8f89faafe6c46c83c54505feab0f6dd4e6afd82666236:173:173,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x08d0b7efd89319c2baddab8dd5ba8c7952aedcd4,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,USDC,2100000767,1658700047
15207857:207:0x7312574066644f0d814e03451bacce07ade4e3f5fb1df889ced82953fdfb5c50:341:341,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x08d0b7efd89319c2baddab8dd5ba8c7952aedcd4,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,1400000146399919159,1658699805
15207851:95:0x34bf409fd25c856dd70fd13d7b444e49fa766a41ddd3ee2266ab2f9efd579fbb:248:248,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,USDC,1295189928496,1658699705
15207840:229:0x5357e05a92125015389637f78a292ccac6fb8ea7ae97f0efce88581cfb6126fe:450:450,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd86a41bdb10f5b010feaad9a7811414e3580f2b9,0xd86a41bdb10f5b010feaad9a7811414e3580f2b9,DPI,412398595655127561205,1658699559
15207798:32:0x82b98c832c19e46dedb3339cc288b28664c4d958331823aa298e5bb53b45c079:75:75,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x540f45337b548824438a25734f429e4b4095476a,0x540f45337b548824438a25734f429e4b4095476a,USDC,4370654539,1658698962
15207763:172:0x1016076c7428fbf63898f20a8529875ac98fef96279a144ccfe85283cd718fa5:399:399,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x540f45337b548824438a25734f429e4b4095476a,0x540f45337b548824438a25734f429e4b4095476a,USDC,12265458120,1658698559
15207720:654:0x29d215cb6a782b6611c07d7aeec896fe9bf891c97977999837e5ac1444db4f72:406:406,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1c1f481edd77c395f6e10b389ff8d4a010d4a2a4,0x1c1f481edd77c395f6e10b389ff8d4a010d4a2a4,USDC,500265,1658698023
15207644:264:0x0c88bb5484f45c53f976a8d9e459f51413c775256226c4c8432aee1e8a39d735:1109:1109,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x35f00bb423b5ba2b71bce64dbcf8ae656a0a8237,0x35f00bb423b5ba2b71bce64dbcf8ae656a0a8237,USDC,31390612472,1658697018
15207633:148:0xe999ff2b096d347a3393dbc007d955a346011afca0e662575c7e02ada0f606b9:248:248,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x24cf8b2e3673600d77b3d4b08769fad321ad0354,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,150000000000000000,1658696862
15207476:14:0xc9a0ff102c8f505103593743ad8a200ce7139eec6b898bc87b9522a37bbd1a7f:164:164,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xacd4ec996aad815efe72a11944188c6db6c30176,0xacd4ec996aad815efe72a11944188c6db6c30176,USDT,1757984026264,1658694784
