id,type,user,pool,timestamp
14948435:166:0x4fafc29ae53a12facf7fc08cfb85156be236ca357d3c3bd58821d80de2c7714d:307:307,redeemUnderlying,0x974012d9590ba6014b83c03a93c7b09706e0a469,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655011323
14948422:6:0x78724d9683cf371eea2f0cdb2cd429ed3e5ab12b3f0b7dcea1dbd1c5dba410a1:72:72,redeemUnderlying,0x09558bfc6cfc58138a9e2e613c510ca3ffee5212,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655011219
14948403:105:0x7a0c06c90d9143713b4232d8728b7b42d5b863afdb89a474c4bc234b95939bff:135:135,repay,0xee8e0fcc8bff03ec5f100d02cb7b3196d78863a7,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010903
14948400:182:0xb2f125ff0fff366a03dffafd2cc1efb75b009b0bc67dec88f2e31054df773b59:277:277,redeemUnderlying,0x7ba7f4773fa7890bad57879f0a1faa0edffb3520,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010869
14948362:42:0xfc73c4cf179ec34186f721b6ecc7351ca1a7831034237ab943d5a4557e29d97e:91:91,liquidationCall,0xb273ad31e4606a9e4390b3bedf76f416eb06a9a1,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010411
14948362:3:0xdb3c443d5b0950224e514d4b3cecf7f79449ce963ffc215fe17fdbed40d74bb5:33:33,liquidationCall,0x56ede2de5f2b66b3408e81042d58113558f3f2c0,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010411
14948362:3:0xdb3c443d5b0950224e514d4b3cecf7f79449ce963ffc215fe17fdbed40d74bb5:20:20,liquidationCall,0x72365c1b3c2a62ffd03f255cf9219d4d046b9d1f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010411
14948362:22:0x35e160866692805ae08097faaba7898ba4087285f0aa3699ca4e32236078b1bf:51:51,liquidationCall,0x86a19282a521e83029f6d4bcae0c9512601dd458,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010411
14948352:333:0xe2cf88b53e56aacf3d7a104f5425a0534c0c9d6f9e026eefb3822c04059bb01b:474:474,deposit,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010259
14948346:96:0x706a315ae3b9a33af0ec5b2a14cd86266d69fc6a5743cdac2eca55cbae9e08c5:141:141,borrow,0xee8e0fcc8bff03ec5f100d02cb7b3196d78863a7,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010181
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:297:297,redeemUnderlying,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:293:293,usageAsCollateral,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:291:291,borrow,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:286:286,deposit,0xea412e9293df3818fc29272d008da8394cd6c766,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
14948334:105:0x8a241aa43e3f546c2050e9340291882a5edf71b2cfac514019675c5cb0ab8b3d:276:276,redeemUnderlying,0xe86e0249e7a6c93b3929eaa3034940ccd43de1c2,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655010026
