block,HHI,depositers
11409914,3666.2181502891576,141
11410281,3667.484551573768,140
11410371,3662.1655592546153,141
11410391,3661.3997619822967,141
11410416,3656.9287661582207,142
11410425,3655.864730067879,143
11410444,3654.61173046614,144
11410458,3655.864730067879,143
11411035,3655.2264871316443,144
11411077,3655.864730067879,143
11411476,3657.130182078285,142
11411745,3634.4844879654665,142
11411968,3635.0119597560847,141
11412587,3656.128036394282,140
11412634,3656.6598632756927,140
11412641,3519.8392487264646,140
11412653,3210.0367742840617,140
11412745,3189.959659856981,141
11412913,3180.6257251581255,142
11412963,3180.2842780394367,143
11413005,3182.2617367140697,143
11413022,3181.100319177104,144
11413075,2918.2095127599277,145
11413079,2917.3367222845022,146
11413111,2952.7949928059174,145
11413140,2916.7592335472723,146
11413348,2371.790912691418,147
11413402,2916.7592335472723,146
11413460,2916.6882652791455,147
11413593,2881.892832030372,148
11413741,2864.6382321793503,149
11413797,2766.2378850519676,149
11413836,2766.182431450961,150
11414388,2766.458179335683,149
11414574,2765.996755057958,149
11414585,2765.0740607348275,150
11414630,2762.625967962918,150
11414671,2763.442264664188,150
11414764,2739.2781963574453,151
11414839,2763.442264664188,150
11414878,2804.227190674543,149
11415051,2803.8941370441503,149
11415158,2804.562077358795,149
11415434,2803.2792756503254,150
11415442,2807.3706465846544,150
11415445,3054.3895366857755,150
11415632,3054.8660197616628,150
11415744,3061.716130725371,149
11415759,3061.692673742024,150
11415806,3059.8545295991266,150
11415861,3066.760463727166,150
11415884,3066.513384431714,150
11416023,3065.820374936438,150
11416036,3065.2466295462928,151
11416059,3065.5108086990867,151
11416176,3065.896591648053,151
11416280,3065.690702129846,151
11416405,3066.034078800938,150
11416442,3058.3944882734395,150
11416561,3063.2325793573737,150
11416612,3063.251740362226,149
11416778,3062.8375326644687,150
11416926,3056.1654441197857,151
11416937,3055.9841789398347,152
11416978,3078.6150877872674,151
11417256,3070.1974861352733,152
11417290,3070.190884905734,153
11417512,3063.988799926343,154
