timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1633305595,7451274367.303851352591695620362408,18755854919.33385337363150948443312,18755854919.33385337363150948443312
1633391463,7429797519.877625752221965099683182,18529621763.88550848701272672637921,18529621763.88550848701272672637921
1633478348,7500691277.714719271919418678041389,18921515724.11531002661848832126297,18921515724.11531002661848832126297
1633564757,7609172035.733288474570093667737115,19235769750.352267667560061456866,19235769750.352267667560061456866
1633651135,7599832997.238781929412779252606887,18462406395.16692892254913960842099,18462406395.16692892254913960842099
1633737248,7340564523.08042500273372653274196,17778792861.55896667464418696521701,17778792861.55896667464418696521701
1633823750,7360757514.846512302835007599434042,17647493796.41960366788592063361107,17647493796.41960366788592063361107
1633910043,7410498408.923231477038721089491565,17561232906.76035293594370029897087,17561232906.76035293594370029897087
1633996778,7444984321.064640272443736046876907,17776296504.66622136206870294462722,17776296504.66622136206870294462722
1634083179,7496153647.15969085545580518863279,17695139695.49598603974366402588901,17695139695.49598603974366402588901
1634169380,7516117745.246191016333767795378349,18012498203.17099101274379392138605,18012498203.17099101274379392138605
1634255835,7605638504.531249698260721283713078,18693473143.59179122480154568318817,18693473143.59179122480154568318817
1634342256,7233287130.562666379839750459312219,18975765772.22682717254268439922764,18975765772.22682717254268439922764
1634428712,7200178395.306877946363067098684725,18899166107.61387603355193665629315,18899166107.61387603355193665629315
1634515173,7217345205.354669624622851474598016,18875510383.09548926334185866418991,18875510383.09548926334185866418991
1634601583,7276847414.646795564795241996716123,18721492668.16751303184369712779019,18721492668.16751303184369712779019
