Date,total_value_locked,total_borrowed
2021-01-30,3234914476.94,2459610843.07
2021-01-31,3272534854.88,2458609142.72
2021-02-01,3299106639.52,2531578727.54
2021-02-02,3494900582.52,2589144180.48
2021-02-03,3645800353.23,2657366855.78
2021-02-04,3827694573.92,2789765892.55
2021-02-05,3934239262.96,2829161932.43
2021-02-06,4061473172.61,2929602268.21
2021-02-07,3982392527.95,2966623819.20
2021-02-08,4039533564.27,3042080624.84
2021-02-09,4300268403.86,3397590466.03
2021-02-10,4478189365.22,3499203016.96
2021-02-11,4480313045.78,3578485251.37
2021-02-12,4540572796.14,3650314335.24
2021-02-13,4587598080.44,3709114196.59
2021-02-14,4730054589.17,3763867074.31
2021-02-15,4609328984.17,3845578912.08
2021-02-16,4837304018.43,3944609627.98
2021-02-17,4910986471.00,4236761640.48
2021-02-18,5210632620.74,4323424037.60
2021-02-19,5236947228.50,4376390021.99
2021-02-20,5529499348.67,4433430036.63
2021-02-21,5563854674.60,4520295704.17
2021-02-22,5276451367.60,4489834818.31
2021-02-23,4541976892.57,4197238971.75
2021-02-24,4966925921.82,4055785764.67
2021-02-25,4865356033.60,4113059570.03
2021-02-26,4542741732.93,4072310365.90
2021-02-27,4568116210.28,4070434178.92
2021-02-28,4503263236.74,4089027327.11
2021-03-01,4840992473.15,4180764711.00
2021-03-02,5058907894.03,4423238375.35
2021-03-03,5178533575.97,4631516635.24
2021-03-04,5125577862.67,4593127850.75
2021-03-05,5061518627.89,4600358016.60
2021-03-06,5191030322.10,4562051199.70
2021-03-07,5240216913.97,4551147011.62
2021-03-08,5196933793.28,4596507603.37
2021-03-09,5683312457.09,4676076763.66
2021-03-10,5565081735.62,4768155535.41
2021-03-11,5565081735.62,4813514445.62
2021-03-12,5704661243.29,4835375358.45
2021-03-13,6502591166.87,4900640521.34
2021-03-14,6941141651.09,5102457298.73
2021-03-15,7206288308.55,5102548925.73
2021-03-16,6390754290.91,5112708621.35
2021-03-17,6457253262.52,5227963286.83
2021-03-18,6399216282.76,5274264675.03
2021-03-19,6654569896.39,5352451584.11
2021-03-20,6922864273.40,5448122960.94
2021-03-21,7080091757.51,5470672678.26
2021-03-22,6874063642.32,5460227977.47
2021-03-23,7059220863.59,5480443396.60
2021-03-24,6890603532.51,5610385518.10
2021-03-25,7171541389.52,5567121156.56
2021-03-26,6624951671.38,5513919576.79
2021-03-27,6759202112.44,5562105902.41
2021-03-28,6571997761.50,5536679579.94
2021-03-29,6470161058.38,5474330064.48
2021-03-30,6920301744.10,5527649841.18
2021-03-31,7718100213.68,5535619308.48
2021-04-01,7818079251.84,5593981689.66
2021-04-02,7913619230.87,5772006916.67
2021-04-03,8393423950.51,6091159470.03
2021-04-04,9384252094.99,6168468811.83
2021-04-05,9410024385.89,6315883245.80
2021-04-06,9603357548.94,6450310869.83
2021-04-07,9569958248.41,6551288561.83
2021-04-08,9161931093.20,6526803581.93
2021-04-09,9379908970.71,6638829079.42
2021-04-10,9726612077.97,6744990372.83
2021-04-11,10060603139.87,6797816553.82
2021-04-12,10101104884.41,6851048118.70
2021-04-13,10444022628.23,6703177264.46
2021-04-14,10899036832.36,7375226233.72
2021-04-15,11383645173.96,7598347608.98
2021-04-16,11351772134.47,7726055031.82
2021-04-17,10944647680.21,7582879003.81
